,Period,Expected Returns (%),Deviation (%),Drawdown (%),Underwater (days),symbol
Yearly,Yearly,-3.3739466628025454,32.11022330077343,-76.56528744206956,2880.125,GRBK
Weekly,Weekly,0.2348595925598023,2.7412006186205886,-13.9846841916036,792.2083333333334,MCO
Monthly,Monthly,0.9973681699309991,5.831145681155909,-17.995550128116637,792.2083333333334,MCO
Quarterly,Quarterly,2.943684522424149,9.513245648543084,-21.639114567966615,792.2083333333334,MCO
Yearly,Yearly,9.322744981524934,21.71242388564996,-31.470219678347615,792.2083333333334,MCO
Weekly,Weekly,0.49230781700648385,4.213079552224297,-25.784784982667347,882.125,META
Monthly,Monthly,2.132502052936945,8.44410336725963,-25.784784982667347,882.125,META
Quarterly,Quarterly,6.346543760464571,14.044910852035336,-36.5395188452397,882.125,META
Yearly,Yearly,23.420668156062554,28.763543236292836,-40.988366238696386,882.125,META
Weekly,Weekly,0.29089031504547785,2.180218157444808,-8.973863640551924,591.1666666666666,MMC
Monthly,Monthly,1.2825949974243795,4.956410439833226,-9.736532055921051,591.1666666666666,MMC
Quarterly,Quarterly,3.854126380398432,7.724433573243059,-14.721510022297874,591.1666666666666,MMC
Yearly,Yearly,16.61490958241807,26.65083022111034,-19.134717394139486,591.1666666666666,MMC
Weekly,Weekly,0.8528216097172142,5.942716880457898,-26.924573815566777,978.25,MRUS
Monthly,Monthly,3.5722600956990282,12.426650161393558,-28.693778043085384,978.25,MRUS
Quarterly,Quarterly,11.546516417173738,23.928499508689224,-41.073354767500774,978.25,MRUS
Yearly,Yearly,41.263327157997246,72.45422302791205,-77.11913804706838,978.25,MRUS
Weekly,Weekly,0.5130546103246979,2.6573563223903456,-11.08894081685631,389.25,MSFT
Monthly,Monthly,2.193077400410476,5.830375453398967,-13.823879419807664,389.25,MSFT
Quarterly,Quarterly,6.573146767302076,8.693009770375731,-15.112583159335829,389.25,MSFT
Yearly,Yearly,22.963722225734234,19.588696963891472,-19.766710365968628,389.25,MSFT
Weekly,Weekly,0.3380712222328828,2.5853431368200064,-12.795276796098623,713.0416666666666,NEE
Monthly,Monthly,1.4789766282022556,5.556609814198046,-13.909892571313248,713.0416666666666,NEE
Quarterly,Quarterly,4.438136874726191,8.990453266213937,-19.6327213504072,713.0416666666666,NEE
Yearly,Yearly,15.765202248168055,21.326892171180972,-30.12707167466855,713.0416666666666,NEE
Weekly,Weekly,0.7827636487699398,4.952004529196386,-35.86291319908804,718.1666666666666,NFLX
Monthly,Monthly,3.349485398665328,9.25605415913766,-41.233058735108614,718.1666666666666,NFLX
