,AAPL,BABA,BLDR,COST,CP,DDOG,GRBK,MCO,META,MMC,MRUS,MSFT,NEE,NFLX,NUVL,NVDA,PINS,PWR,RTX,SBLK,SE,SNAP,TDW,TJX,total
2021-12-01 13:00:00,253.1532978424645,242.16762295110686,356.1345118977746,205.16769249762484,163.03856101703525,259.5926172518183,28.266605941711678,179.6098771100951,256.0137997164799,214.37316720257266,536.7229024465242,250.23338960574108,230.5814243715487,365.7064998683941,100.0,195.3365474086386,312.49788042053393,175.8639813806578,58.53560716887975,198.12599844712284,407.58737600696145,210.8990934966065,86.31286865716038,237.68510907342255,230.15026799086982
2021-12-01 14:00:00,252.4416138311116,241.6116332928403,356.13468137883484,205.16769249762484,162.2752902171056,260.6969531348528,28.459581626775353,179.62645991593476,255.5036280684735,214.15042923978262,536.1673030967441,249.89858750799283,230.42686257558853,365.057037026509,100.0,195.02179799461942,311.79792682030643,175.8962324238576,58.11245728281786,198.0034238601333,408.6343150196495,209.17850469189057,86.49969724193384,237.33729549459628,229.920808509999
2021-12-01 15:00:00,250.957460567157,240.1308361879469,356.1281563580099,203.194791914063,160.9079774585794,260.4557134200878,27.95684484560978,177.45538795138776,253.9085733376583,212.35648564758174,535.5553314004351,248.50833305725354,229.36331095043258,363.7139090955899,100.0,193.83497237140227,309.5838283504577,173.5915501524894,56.8487258095428,196.94871529598794,409.371041825432,205.83621149652276,86.87335441148078,237.3209111447689,228.7834342937449
2021-12-01 16:00:00,249.00559207141433,242.039657703904,359.6572102284096,202.37689475337066,162.134330138907,260.4516211563189,30.815282767878337,179.37771782833983,254.7691038282715,213.70495331420253,539.0676164916449,249.17793725274998,231.0511211381801,364.540925384971,100.0,195.98364777196306,310.807425210067,177.50712396102574,58.96733445591571,200.93031633403092,410.59296772627846,206.8843862856026,86.87335441148078,239.9369432083076,230.27722764263476
2021-12-02 10:00:00,248.48590191058173,242.03552055681757,359.58659331904954,202.53715838620906,161.82421796687015,260.4530738011592,30.850377196172165,178.85344604371653,254.78581782870512,214.50560599125862,538.8459008932896,248.39693253863064,230.18409535680294,364.551328866161,100.0,195.95021976903092,310.23455585677044,177.4969958403625,58.756712543703195,200.87937592196855,410.56912150554894,206.89271144989235,86.77794011909405,239.91713945360107,230.14044762980814
2021-12-02 11:00:00,249.60043596923836,241.87810580688898,360.94243797876277,202.5288794326298,162.45853831876371,260.22712145063764,30.32894034796821,179.43256864765556,254.85293918592478,214.74038384392924,538.9319594130831,248.46629512569766,230.6580694506225,364.5492722044549,100.0,195.95021976903092,310.14341755056415,177.49494852126531,58.90538683467672,200.88438071403255,411.7776321770754,207.52313763399587,86.96661673579821,240.21336106073798,230.39396034055974
2021-12-02 12:00:00,249.5925230080274,241.87432072888237,360.75883401442655,202.52643792904666,162.69112244779137,261.39512090004155,30.008353248702086,179.77187836714415,254.7538691158076,215.02934120106224,538.863773521153,248.80109722344596,230.97019873191823,364.5509314716643,100.0,196.0401062618998,310.20851634071147,176.70433390482023,59.853185439633016,200.888489193336,412.7455917291358,207.93148204886177,86.96661673579821,240.57679642694023,230.5626216662604
2021-12-02 13:00:00,249.69263282469302,241.9148015138622,361.35201605305105,202.5258577697794,162.23300219364603,261.7582295371619,29.26675417570093,179.96832083632174,254.6229664584963,215.1978996593898,538.9693513513287,248.61342788614314,231.207185778828,364.5558401371585,100.0,196.1275819924039,309.0888171501773,176.66061651647598,60.49124593839445,200.88984048719325,411.85854712638445,207.44146875102265,87.10866219034368,241.00565015905892,230.52294652029232
2021-12-02 14:00:00,249.69269414053093,241.89491072008502,360.5469832863464,202.1738060725233,162.331674248385,261.58272702922045,29.24065375227525,179.83438278915517,254.91489350068372,215.06847084317397,539.2764868572942,248.45428428811033,231.08580216943517,364.6133456110865,100.0,196.02734054194858,310.4949510173597,177.3251208193088,60.47885641414668,200.8920016474027,412.04959592131024,207.70546379243584,87.81888946307095,240.9111569638463,230.600603828714
2021-12-02 15:00:00,249.80612844061062,241.894910720085,360.5752300500904,201.81629700124253,162.48673033440343,262.87781450161646,29.232286944466686,179.77135954651123,255.00141137610294,215.27013899867308,538.7773916601003,248.3612002968081,230.43842291934024,364.5355670343361,100.0,195.63398054853906,310.39079295312405,176.80051215917763,60.10717068671281,200.89257037377365,412.90421305872985,207.72660544148442,87.62949552367701,240.80939506130977,230.57248440128814
2021-12-02 16:00:00,249.6559046378023,241.894910720085,360.9848081243788,202.98802830292738,161.40838573618436,258.19371308276345,29.246789411334873,180.11585657173734,253.98521960299686,214.3912270373934,535.9363882299194,247.7336340328675,228.32288001278,363.66571682904623,100.0,192.70186379551842,305.8599171588696,176.80051215917763,60.1443392594562,200.8873380911612,407.4116175238527,206.70123546262607,87.62949552367701,240.8384698906059,229.47909379988172
2021-12-03 10:00:00,249.65183884590832,241.894910720085,357.94828102189615,202.07681067946694,160.93616947421913,259.5731043402086,28.106604847490786,179.01653620433893,253.42521299119227,214.03003034097716,538.1247287099236,246.09715741158695,228.26937441867736,362.57999139032677,100.0,192.69593172744882,305.83289083507884,176.78976868150878,59.078840174145846,200.88802056280636,407.3874321684618,206.70060518222985,87.53279855398004,240.67855832947686,229.13814990047644
2021-12-03 11:00:00,249.65183884590832,243.77835202978827,357.56694971135175,202.070509698205,160.92446048269198,260.6513665541851,28.796159180518515,179.10222710319815,252.64940996774737,213.99964168297458,536.9729705625531,246.09215470219004,227.36706770655564,362.60386175755707,100.0,193.305067369858,305.8845688195263,176.65305795532453,59.06503572108711,200.88665561951615,407.44098695706094,209.08838780404565,85.2231386213201,241.05653111032728,229.20126666514545
2021-12-03 12:00:00,249.82627744239952,242.96798039530356,358.28018049588843,202.28862245746186,160.92778689935173,256.71198433638295,29.72798936028566,179.04930821020167,252.60210635584772,213.99947943863052,535.4756849709712,246.13431634739567,227.26332130886112,362.59430784161964,100.0,192.65254407782413,305.82788973980973,176.64169147169133,59.064309143742655,200.89552775090232,407.4001499722904,208.41716941854656,86.04721269539418,240.80939506130977,228.98355146633804
2021-12-03 13:00:00,249.82346431995296,242.95091993984067,357.75055367568797,202.01463534438557,160.68280252519605,255.97596858463882,29.61616973871361,179.2100757116394,252.59487978058007,213.9992719449696,535.3221172179882,246.36592246927418,227.51592361433663,362.51504181886946,100.0,193.2161117254334,305.8212216127842,176.64213973352167,58.80687435497518,200.89666747854963,407.38544865777305,208.7896892218146,85.7694349176164,240.72217057342115,228.93281270674845
2021-12-03 14:00:00,249.82363260377284,243.3262499600231,357.3268522195276,201.8566098568448,160.85412695249502,255.0591213766473,29.78389917107171,179.4303141180806,252.61093883673027,213.7329343519769,534.0551832558806,246.1816834606924,227.50915992557586,362.2069757196164,100.0,193.28113374997835,305.83539138271334,176.6421482448222,58.70160940966294,200.8711388536021,406.95140202825746,208.70434676974858,85.7694349176164,240.62040867088453,228.79727899317592
2021-12-03 15:00:00,250.3675898976822,243.31316784669042,357.4115925107597,202.08193314697215,161.4537624480414,254.00268497435954,30.958005197578316,179.42800706522334,253.78242256727884,214.76823590344782,534.515886514829,246.179122113162,228.29274513383706,362.9558256893413,100.0,191.79253333233956,305.8325734370329,178.2123299463377,59.63033516956997,201.43489197875533,407.45354461366287,206.8054772112802,86.32499047317195,241.44904130582572,229.10194576988246
2021-12-03 16:00:00,248.73124405819294,243.54127648460846,359.6854569921536,202.20160692762065,164.20209180262893,260.13509207833044,35.654429303604836,179.42800706522334,255.4959266524593,215.31800376747887,534.515886514829,246.6097701111817,227.96013373199486,364.4760474323916,100.0,198.09927879922685,306.37393900752954,177.74382899507114,62.280299337838,202.29277716920583,406.16812072271466,206.74147037223068,86.32499047317195,244.6618099430538,230.3600619892809
2021-12-06 10:00:00,248.05182816054676,243.56222517028016,360.84357430565865,202.77488173498367,165.25145391983503,257.0914131463337,36.77262551932542,179.42800706522334,256.4636490286649,215.87373359469146,534.4754945765832,246.2816185973391,227.47634377402605,364.413308122361,100.0,198.69242862453345,307.9953288911666,177.73654276616116,63.060428976159905,203.59186045760234,406.7674225756683,206.36809714444195,86.23039788057936,245.21423169968128,230.60070398882698
2021-12-06 11:00:00,247.81852275126008,243.19295776754868,360.4749579936451,202.72890082457508,165.23494438149157,257.76524825698215,37.36398194176437,179.42600706522333,256.08516035855223,215.5076034729544,534.4351026383375,246.32843653797394,227.46966389216755,364.4135336300955,100.0,198.48752222540065,309.75747382313284,177.7392820432425,62.65178964180082,203.76343749569241,406.7639790988301,206.66059610986727,84.67861038816889,245.1996942850332,230.58114194265585
2021-12-06 12:00:00,248.0179475956832,242.6141105005347,360.89144966381167,203.12159911635632,165.23453474928277,256.26149193660854,37.6973152750977,179.42600706522333,256.57581680973215,216.09727131176956,534.4351026383374,246.04908949218606,227.62468497785616,364.4039306610593,100.0,198.4856663321619,309.7027579412106,177.73937259785674,63.6300474422362,204.3686911859002,406.7633713304795,206.66321068304032,83.85893825702138,245.1996942850332,230.61925424368664
2021-12-06 13:00:00,247.9895548240221,242.6126270874847,361.35694035399797,202.98509621030414,165.23449573669146,255.43169762615088,39.03064860843103,179.42600706522333,256.532945999492,216.1002494321676,534.0091734598673,246.04572482199947,227.5798218105166,364.40515747208156,100.0,198.4827664280797,309.7027579412106,177.74208923628447,63.66719647263248,205.51590970737033,406.7652814595815,206.66282683456183,84.67861038816889,245.30872489489388,230.71942932796722
2021-12-06 14:00:00,247.98962887543536,242.6129693439241,361.3429406339924,202.44469429456302,165.19855020802208,256.0203833282786,38.78064860843103,179.00171893632472,256.5890293988058,215.96623401425506,533.7461220636714,246.04556144478656,227.11997434528556,364.00892529045296,100.0,198.3041189844061,309.7094112019554,177.7379388164643,63.36786544536342,204.88981507970553,406.7540603648135,206.59763274614826,84.76968506940753,244.7344970162943,230.57218356294945
2021-12-06 15:00:00,247.99006182639266,242.6075995917646,360.1403463059517,202.87103213812344,165.23136508639524,256.1351068318659,40.23696380744748,179.03798856355232,256.71274277964505,215.81137175355622,533.744729632684,246.3607424798114,227.4564481003326,364.42062404281734,100.0,198.30083095225513,309.7112257276131,177.31732007143574,63.22074807896448,204.70278161667272,408.1315233533347,207.10526769750174,84.31431166321444,244.29837457685153,230.66081277825762
2021-12-06 16:00:00,247.9819603148642,242.59825650660935,366.7525482368272,204.6137815688179,166.47927361957986,264.84298795460705,40.19702461365799,182.79189498160508,258.3874075982608,217.39275368492392,533.7235276124819,248.21787945417177,227.66954814519582,365.1329744727097,100.0,198.2560272808585,313.86888989380975,180.26535391761456,64.76715687335312,208.20067580534734,410.7186338996707,213.89766361036823,84.31431166321444,244.2402249182592,232.72128152611702
2021-12-07 10:00:00,248.1544118294912,243.28533140345883,369.6157758642157,204.33890585389074,166.27396129386875,264.7842833299202,43.06548453497007,182.47064971187524,258.8054601725154,217.3034100729822,533.7022928896977,249.07715178559232,228.37614303079474,365.40597581064605,100.0,198.22760812359718,313.82777502793385,180.89771163084328,65.3394498917489,208.4699592430874,410.636728785801,214.09899827861236,84.22123698197582,246.43537453012095,233.20058666990167
