,@ES.#,SW#.C,EX#.,@NQ.#,@YM.#,LF#.,XG#.,total
2023-11-02 10:00:00,193.91855891800225,135.8280723580113,169.19043981321548,230.83889358654764,179.02663991749927,159.97791296857622,215.17060547886666,683.9511230407189
2023-11-02 11:00:00,193.90284912080142,135.8280354051976,169.11812199623913,230.86957973322484,179.00614481414976,159.9144266163333,215.1176104571322,683.7567681430783
2023-11-02 12:00:00,194.14827396047548,135.9621093373945,169.26146053842197,231.0299122282517,179.30682544522512,160.05381304870286,215.26939956863296,685.0317941271046
2023-11-02 13:00:00,194.18183579994997,135.98006566759943,169.30364593165825,230.96363015142896,179.39173373053026,160.098921772665,215.31275913187022,685.2325921857021
2023-11-02 14:00:00,194.19609218681123,136.01118997328805,169.37626091665817,230.95507433320898,179.48510367997835,160.1257600499648,215.3801757922164,685.5296569321259
2023-11-02 15:00:00,194.1679865094644,136.01956959405032,169.39434037090226,230.95384688734188,179.50669452253356,160.14914975868595,215.39944670921076,685.5910343521891
2023-11-02 16:00:00,194.15981062344267,136.00520452988636,169.45808307274763,230.97730213281062,179.49709484212678,160.1432816801271,215.47754186399973,685.7183187451409
2023-11-02 17:00:00,194.15981062344267,136.00520452988636,169.45808307274763,230.97730213281062,179.49709484212678,160.1432816801271,215.4727241347511,685.7135010158923
2023-11-02 18:00:00,194.15956936151122,136.00520452988636,169.45808307274763,230.99934263881215,179.47395347688348,160.1432816801271,215.4727241347511,685.712158894719
2023-11-02 19:00:00,194.1665993373281,136.00520452988636,169.45808307274763,230.99934263881215,179.4764750907163,160.1432816801271,215.4727241347511,685.7217104843688
2023-11-02 20:00:00,194.17996830201236,136.00520452988636,169.4611917521806,231.018097031176,179.56270158465423,160.15680615943467,215.47354488327377,685.857514242618
2023-11-02 21:00:00,194.17293832619544,136.00520452988636,169.47909151351712,231.03148250125366,179.55117420713262,160.15680615943467,215.47989368652438,685.8765909239441
2023-11-02 22:00:00,194.16799501474512,136.00520452988636,169.5029407861143,231.03674830945786,179.55269160746818,160.15680615943467,215.50210644053328,685.9244928476397
2023-11-02 23:00:00,194.17291599781692,136.00520452988636,169.51487396033863,231.02701342212868,179.55629391294363,160.15680615943467,215.4997256393143,685.9328336218633
2023-11-03 00:00:00,194.17897358163032,136.00520452988636,169.4603140510424,231.0380470297645,179.5550302571131,160.16745316978995,215.4792036539804,685.8842262732071
2023-11-03 01:00:00,194.18318872241602,136.00520452988636,169.46329734459846,231.0522437404529,179.55287235631897,160.16745316978995,215.47920692624797,685.9034667897105
2023-11-03 02:00:00,194.15437383884114,136.00520452988636,169.40367416310548,230.9897926560821,179.5293905858035,160.12769964166432,215.39987866456076,685.6100140799437
2023-11-03 03:00:00,194.14734860419833,136.00520452988636,169.40366349069834,230.97924652814214,179.54018008977403,160.12769964166432,215.39987081111855,685.603213695482
2023-11-03 04:00:00,194.15482329294167,135.83172544243388,169.23829274868817,230.99545661785382,179.5412470959525,159.97668541817382,215.35172990250942,685.0899605185533
2023-11-03 05:00:00,194.15482329294167,135.7996436933845,169.23827353835523,231.00235216304534,179.53872954502606,159.97668541817382,215.3517213946137,685.0622290455402
2023-11-03 06:00:00,194.19629430391657,135.7330854247723,169.23826500042946,231.07372207843397,179.55169162843995,159.85742483379698,215.3199843307478,684.970467600537
2023-11-03 07:00:00,194.22581273709852,135.72118800827988,169.23827353835523,231.11915155263677,179.54306002526346,159.8541043217681,215.31998694856185,685.0215771319638
2023-11-03 08:00:00,194.95015713990148,135.84478661231034,169.4710846006717,231.6939123718861,179.80948631511902,159.74658345927895,215.57816572495472,687.0941762241222
2023-11-03 09:00:00,194.95044366297125,135.88761731168296,169.4710995420418,231.6943337476476,179.80121436207492,159.75654499536552,215.57818535856032,687.1394389803444
2023-11-03 10:00:00,194.94132289617406,135.64754632374567,169.36968468887318,231.70988487629995,179.82878302286184,159.66757916659856,215.47491882262005,686.6397197971733
2023-11-03 11:00:00,194.941447307507,135.58805924128373,169.3696676130217,231.71005743970704,179.82869209961206,159.62275225420888,215.47490311573557,686.5355790710761
2023-11-03 12:00:00,194.93203083370105,135.66175901723426,169.36681611183897,231.81384640446205,179.83944031880725,159.614258666173,215.4621857130513,686.6903370652677
2023-11-03 13:00:00,194.93552460082054,135.6546205673388,169.36680970839464,231.81387182077785,179.84555437105726,159.61430349194356,215.4621811318766,686.6928656922091
2023-11-03 14:00:00,194.92226841117758,135.71644432889775,169.37875781788472,231.81394777786318,179.81474074698508,159.61925893467946,215.47171193694845,686.7371299544362
2023-11-03 15:00:00,194.96349486318726,135.71048797704412,169.37874287651465,231.81373909653368,179.84531100823492,159.6560138145315,215.47170212014566,686.8394917561917
2023-11-03 16:00:00,194.95371231525277,135.71285839001493,169.41504393048658,231.8044184834064,179.86871931326073,159.6392886586961,215.52291477731674,686.9169558684343
2023-11-03 17:00:00,194.95371231525277,135.71285839001493,169.41504393048658,231.8044184834064,179.86871931326073,159.6392886586961,215.52291804958432,686.9169591407019
2023-11-03 18:00:00,194.96275768124218,135.71285839001493,169.3941608969591,231.8523462094084,179.86253630821108,159.6392886586961,215.49753572837108,686.921483872903
2023-11-03 20:00:00,194.96275768124218,135.71285839001493,169.37240014092828,231.8643291457071,179.85625267227758,159.6392886586961,215.48440375200863,686.8922904408748
2023-11-05 19:00:00,194.96275768124218,135.71285839001493,169.37240014092828,231.86432914570716,179.85482213897475,159.6392886586961,215.48440375200863,686.890859907572
