,Period,Expected Returns (%),Deviation (%),Drawdown (%),Underwater (days),symbol
Quarterly,Quarterly,1.190343587355004,6.418505590044984,-15.692338739252149,952.0416666666666,SNAP
Yearly,Yearly,7.440256814712014,13.303143141646528,-25.998349460183167,952.0416666666666,SNAP
Monthly,Monthly,0.05769126862631646,2.8776616306706218,-10.915785100742264,1630.2916666666667,TDW
Quarterly,Quarterly,0.23725337233884863,5.7852308955815595,-16.8538297910284,1630.2916666666667,TDW
Yearly,Yearly,-1.9570615325423484,10.921472963024387,-22.249557716244738,1630.2916666666667,TDW
Monthly,Monthly,0.2849089689681937,1.5616654288048288,-4.621166912193011,1295.1666666666667,TJX
Quarterly,Quarterly,0.8171888015764001,3.0887727686645894,-7.265159588956966,1295.1666666666667,TJX
Yearly,Yearly,3.8062961033396774,8.988989504176297,-12.796480663463589,1295.1666666666667,TJX
Monthly,Monthly,0.5368876822265473,2.8663876260221595,-16.766924481219576,47.166666666666664,total
Quarterly,Quarterly,1.5587489567718038,4.710411400337864,-16.766924481219576,47.166666666666664,total
Yearly,Yearly,5.809668094988571,9.8572879525545,-16.766924481219576,47.166666666666664,total
